,t1,t4,t5,t6,t1n,t4n,t5n,t6n,x,y
0,-75.71,-49.4,-79.77,-73.65,-100,-58.71,-77.02,-69.82,0.1,0
1,-75.51,-54.95,-79.73,-73.65,-71.82,-63.62,-82.24,-72.77,0.2,0
2,-75.31,-58.2,-79.69,-73.65,-82.64,-59.35,-84.6,-74.94,0.3,0
3,-75.11,-60.5,-79.65,-73.64,-79.09,-52.46,-78.43,-72.54,0.4,0
4,-74.89,-62.29,-79.61,-73.64,-77.93,-62.6,-100,-70.32,0.5,0
5,-74.67,-63.75,-79.58,-73.64,-69.67,-74.19,-75.9,-74.44,0.6,0
6,-74.44,-64.98,-79.54,-73.63,-80.62,-100,-84.22,-79.03,0.7,0
7,-74.2,-66.05,-79.5,-73.62,-71.12,-73.45,-85.55,-78.94,0.8,0
8,-73.95,-66.99,-79.47,-73.62,-70.0,-100,-83.52,-77.28,0.9,0
9,-73.69,-67.84,-79.44,-73.61,-68.18,-100,-75.45,-67.53,1.0,0
10,-73.42,-68.6,-79.4,-73.6,-79.59,-73.71,-81.72,-75.52,1.1,0
11,-73.13,-69.29,-79.37,-73.59,-100,-71.64,-69.84,-74.43,1.2,0
12,-72.84,-69.94,-79.34,-73.58,-75.48,-71.42,-83.53,-69.92,1.3,0
13,-72.52,-70.53,-79.31,-73.57,-71.46,-70.21,-78.86,-72.23,1.4,0
14,-72.2,-71.08,-79.29,-73.56,-79.23,-75.75,-78.6,-67.16,1.5,0
15,-71.85,-71.6,-79.26,-73.55,-76.3,-77.0,-71.31,-100,1.6,0
16,-71.48,-72.08,-79.23,-73.54,-82.0,-70.03,-84.2,-76.7,1.7,0
17,-71.09,-72.54,-79.21,-73.53,-76.65,-73.88,-79.7,-83.03,1.8,0
18,-70.68,-72.97,-79.19,-73.51,-62.59,-100,-86.9,-86.84,1.9,0
19,-70.23,-73.38,-79.17,-73.5,-70.58,-71.82,-71.91,-69.57,2.0,0
20,-69.75,-73.78,-79.15,-73.48,-70.26,-73.51,-72.93,-73.64,2.1,0
21,-69.23,-74.15,-79.13,-73.47,-70.45,-77.56,-80.16,-69.43,2.2,0
22,-68.66,-74.5,-79.11,-73.45,-68.36,-71.38,-81.54,-77.02,2.3,0
23,-68.04,-74.84,-79.1,-73.43,-100,-80.54,-89.39,-72.07,2.4,0
24,-67.34,-75.17,-79.08,-73.42,-69.39,-82.08,-89.46,-84.09,2.5,0
25,-66.56,-75.49,-79.07,-73.4,-71.09,-74.55,-81.32,-73.39,2.6,0
26,-65.67,-75.79,-79.06,-73.38,-100,-77.88,-81.93,-68.87,2.7,0
27,-64.63,-76.08,-79.05,-73.36,-71.89,-83.88,-75.87,-71.04,2.8,0
28,-63.38,-76.36,-79.04,-73.34,-70.59,-69.55,-77.82,-72.48,2.9,0
29,-61.81,-76.63,-79.04,-73.32,-56.03,-74.15,-83.93,-67.59,3.0,0
30,-59.71,-76.89,-79.03,-73.3,-100,-79.64,-100,-78.96,3.1,0
31,-56.53,-77.15,-79.03,-73.28,-60.79,-84.05,-65.52,-75.34,3.2,0
32,-49.68,-77.39,-79.03,-73.26,-44.54,-85.02,-70.43,-72.39,3.3,0
33,-54.69,-77.4,-78.92,-73.3,-51.51,-82.17,-73.06,-65.64,3.3,0.1
