,t1,t4,t5,t6,x,y,o
0,-76.62,-54.86,-77.6,-75.85,0.1,0.0,0
1,-74.13,-58.45,-77.66,-100.0,0.2,0.0,0
2,-77.12,-50.82,-79.67,-74.16,0.3,0.0,0
3,-87.66,-66.49,-83.87,-68.27,0.4,0.0,0
4,-100.0,-57.9,-84.91,-73.52,0.5,0.0,0
5,-100.0,-59.81,-79.07,-79.35,0.6,0.0,0
6,-73.63,-64.48,-87.75,-77.27,0.7,0.0,0
7,-76.45,-60.31,-83.69,-66.86,0.8,0.0,0
8,-76.92,-66.45,-78.1,-84.13,0.9,0.0,0
9,-71.0,-100.0,-82.46,-71.5,1.0,0.0,0
10,-73.34,-63.11,-80.67,-65.91,1.1,0.0,0
11,-65.05,-100.0,-83.76,-77.67,1.2,0.0,0
12,-72.5,-71.68,-75.5,-75.98,1.3,0.0,0
13,-68.11,-65.3,-84.47,-73.73,1.4,0.0,0
14,-76.25,-76.45,-70.32,-73.82,1.5,0.0,0
15,-100.0,-78.58,-87.84,-77.8,1.6,0.0,0
16,-74.94,-70.91,-100.0,-74.29,1.7,0.0,0
17,-72.56,-71.17,-100.0,-72.76,1.8,0.0,0
18,-67.14,-76.41,-77.05,-67.59,1.9,0.0,0
19,-68.38,-80.65,-77.97,-77.72,2.0,0.0,0
20,-70.2,-66.04,-75.28,-77.78,2.1,0.0,0
21,-60.96,-100.0,-78.69,-100.0,2.2,0.0,0
22,-76.42,-78.77,-74.59,-81.76,2.3,0.0,0
23,-73.35,-76.61,-84.6,-66.5,2.4,0.0,0
24,-79.74,-73.51,-81.72,-71.5,2.5,0.0,0
25,-72.79,-77.05,-75.98,-77.01,2.6,0.0,0
26,-67.22,-72.43,-73.14,-64.86,2.7,0.0,0
27,-63.29,-64.99,-85.78,-100.0,2.8,0.0,0
28,-59.4,-69.38,-76.4,-68.53,2.9,0.0,0
29,-100.0,-78.28,-80.34,-74.9,3.0,0.0,0
30,-100.0,-75.74,-89.57,-72.72,3.1,0.0,0
31,-59.42,-79.04,-83.74,-71.26,3.2,0.0,0
32,-43.64,-100.0,-75.67,-71.47,3.3,0.0,0
33,-51.32,-80.67,-74.28,-73.17,3.3,0.1,0
34,-100.0,-73.66,-75.37,-74.92,3.2,0.1,0
35,-53.19,-82.14,-75.05,-71.43,3.1,0.1,0
36,-61.46,-100.0,-80.74,-69.0,3.0,0.1,0
37,-63.95,-100.0,-81.93,-100.0,2.9,0.1,0
38,-64.26,-67.99,-72.51,-68.1,2.8,0.1,0
39,-65.48,-71.66,-74.84,-73.06,2.7,0.1,0
40,-63.08,-70.39,-68.84,-79.74,2.6,0.1,0
41,-60.53,-82.2,-78.24,-71.52,2.5,0.1,0
42,-67.42,-61.32,-76.95,-72.16,2.4,0.1,0
43,-60.47,-72.65,-73.73,-100.0,2.3,0.1,0
44,-68.25,-70.51,-75.55,-72.25,2.2,0.1,0
45,-64.31,-66.62,-82.13,-79.27,2.1,0.1,0
46,-100.0,-71.38,-73.75,-74.01,2.0,0.1,0
47,-75.59,-72.88,-79.52,-72.58,1.9,0.1,0
48,-67.65,-69.2,-73.8,-70.96,1.8,0.1,0
49,-100.0,-69.53,-72.2,-75.36,1.7,0.1,0
50,-71.59,-75.26,-83.09,-71.61,1.6,0.1,0
51,-68.31,-69.08,-86.95,-71.52,1.5,0.1,0
52,-74.49,-68.03,-79.23,-78.94,1.4,0.1,0
53,-67.45,-66.86,-77.32,-79.46,1.3,0.1,0
54,-70.7,-64.46,-77.27,-82.16,1.2,0.1,0
55,-70.75,-68.79,-84.5,-100.0,1.1,0.1,0
56,-73.62,-69.39,-78.69,-100.0,1.0,0.1,0
57,-61.62,-79.3,-84.37,-72.77,0.9,0.1,0
58,-66.99,-56.51,-73.59,-74.26,0.8,0.1,0
59,-100.0,-56.61,-76.43,-85.19,0.7,0.1,0
60,-70.19,-56.9,-77.05,-80.26,0.6,0.1,0
61,-70.36,-51.74,-75.56,-68.25,0.5,0.1,0
62,-72.19,-62.39,-81.81,-74.08,0.4,0.1,0
63,-74.72,-52.07,-81.2,-71.53,0.3,0.1,0
64,-77.22,-56.38,-78.27,-76.8,0.2,0.1,0
65,-71.13,-44.3,-74.25,-71.75,0.1,0.1,0
66,-69.27,-38.9,-73.23,-83.89,0.0,0.1,0
67,-79.84,-48.33,-69.5,-71.21,0.0,0.2,0
68,-76.12,-56.56,-85.27,-69.52,0.1,0.2,0
69,-67.6,-47.24,-77.42,-75.09,0.2,0.2,0
70,-70.74,-55.36,-81.57,-77.14,0.3,0.2,0
71,-76.37,-58.68,-85.61,-77.72,0.4,0.2,0
72,-100.0,-62.87,-84.1,-100.0,0.5,0.2,0
73,-70.91,-100.0,-86.05,-72.77,0.6,0.2,0
74,-73.38,-72.53,-77.33,-100.0,0.7,0.2,0
75,-100.0,-66.86,-88.84,-74.98,0.8,0.2,0
76,-73.39,-70.38,-87.31,-74.68,0.9,0.2,0
77,-70.82,-75.14,-76.84,-70.34,1.0,0.2,0
78,-68.52,-71.31,-82.19,-90.41,1.1,0.2,0
79,-81.99,-72.98,-74.83,-59.35,1.2,0.2,0
80,-80.53,-65.91,-78.81,-100.0,1.3,0.2,0
81,-79.49,-81.23,-83.0,-72.99,1.4,0.2,0
82,-70.89,-65.43,-79.57,-75.02,1.5,0.2,0
83,-66.02,-68.37,-76.38,-83.34,1.6,0.2,0
84,-70.49,-100.0,-81.73,-73.3,1.7,0.2,0
85,-79.81,-75.96,-82.46,-75.6,1.8,0.2,0
86,-71.7,-73.75,-78.58,-69.26,1.9,0.2,0
87,-79.66,-100.0,-85.72,-81.53,2.0,0.2,0
88,-79.41,-77.7,-83.52,-69.19,2.1,0.2,0
89,-69.05,-100.0,-82.89,-100.0,2.2,0.2,0
90,-70.98,-65.05,-81.69,-77.81,2.3,0.2,0
91,-62.54,-77.56,-100.0,-57.65,2.4,0.2,0
92,-75.15,-75.01,-73.54,-73.29,2.5,0.2,0
93,-100.0,-78.45,-82.6,-72.74,2.6,0.2,0
94,-58.64,-72.26,-82.37,-84.01,2.7,0.2,0
95,-100.0,-69.6,-78.66,-65.01,2.8,0.2,0
96,-59.51,-100.0,-71.92,-72.19,2.9,0.2,0
97,-63.36,-71.52,-82.37,-79.77,3.0,0.2,0
98,-62.17,-75.05,-71.44,-81.15,3.1,0.2,0
99,-58.21,-80.0,-77.95,-100.0,3.2,0.2,0
100,-58.66,-79.04,-66.59,-73.52,3.3,0.2,0
101,-100.0,-77.27,-83.02,-73.21,3.3,0.3,0
102,-100.0,-100.0,-100.0,-72.56,3.2,0.3,0
103,-100.0,-74.52,-80.86,-58.08,3.1,0.3,0
104,-64.73,-81.57,-77.6,-77.37,3.0,0.3,0
105,-66.04,-73.1,-83.2,-79.36,2.9,0.3,0
106,-64.53,-78.43,-73.73,-75.85,2.8,0.3,0
107,-67.2,-71.39,-68.15,-62.79,2.7,0.3,0
108,-60.51,-100.0,-80.7,-75.55,2.6,0.3,0
109,-75.83,-77.69,-79.85,-77.22,2.5,0.3,0
110,-70.97,-68.33,-85.85,-69.04,2.4,0.3,0
111,-63.62,-75.09,-66.72,-79.04,2.3,0.3,0
112,-65.53,-82.5,-77.67,-74.45,2.2,0.3,0
113,-63.24,-100.0,-100.0,-78.59,2.1,0.3,0
114,-100.0,-72.13,-78.7,-74.19,2.0,0.3,0
115,-70.58,-69.04,-81.36,-66.61,1.9,0.3,0
116,-64.19,-72.35,-82.14,-71.3,1.8,0.3,0
117,-79.27,-71.23,-81.73,-74.69,1.7,0.3,0
118,-73.66,-80.83,-78.44,-67.22,1.6,0.3,0
119,-74.59,-58.63,-83.52,-70.23,1.5,0.3,0
120,-70.37,-68.31,-73.32,-79.09,1.4,0.3,0
121,-72.53,-100.0,-76.9,-81.69,1.3,0.3,0
122,-71.84,-58.56,-81.54,-77.29,1.2,0.3,0
123,-76.0,-78.28,-80.04,-76.05,1.1,0.3,0
124,-74.53,-64.73,-100.0,-77.88,1.0,0.3,0
125,-77.97,-75.35,-100.0,-75.15,0.9,0.3,0
126,-80.43,-55.6,-76.95,-80.53,0.8,0.3,0
127,-100.0,-53.62,-73.34,-83.67,0.7,0.3,0
128,-72.37,-73.38,-72.37,-64.62,0.6,0.3,0
129,-81.3,-66.51,-84.83,-70.56,0.5,0.3,0
130,-75.53,-66.81,-77.66,-77.44,0.4,0.3,0
