;t1;t2;t3;t4;t5;t6;x;y;o
0;-69.73;-82.76;-73.31;-72.39;-83.88;-11.48;0.1;0.0;0.0
1;-75.13;-87.39;-100.0;-68.8;-81.17;-28.33;0.2;0.0;0.0
2;-74.85;-76.72;-69.59;-65.45;-79.99;-32.8;0.3;0.0;0.0
3;-100.0;-88.23;-73.47;-73.14;-83.24;-41.89;0.4;0.0;0.0
4;-83.02;-87.19;-79.74;-64.87;-100.0;-48.78;0.5;0.0;0.0
5;-74.88;-81.57;-80.03;-77.02;-73.38;-32.18;0.6;0.0;0.0
6;-79.61;-76.64;-78.45;-73.69;-100.0;-45.49;0.7;0.0;0.0
7;-72.78;-88.08;-87.39;-76.69;-78.94;-42.16;0.8;0.0;0.0
8;-82.03;-73.48;-73.41;-68.24;-72.11;-45.67;0.9;0.0;0.0
9;-68.23;-79.75;-75.24;-66.67;-76.97;-53.52;1.0;0.0;0.0
10;-77.05;-85.5;-79.06;-75.61;-77.19;-100.0;1.1;0.0;0.0
11;-79.04;-86.39;-68.67;-67.3;-71.36;-100.0;1.2;0.0;0.0
12;-78.65;-86.11;-74.04;-67.1;-78.96;-100.0;1.3;0.0;0.0
13;-64.52;-86.18;-76.08;-100.0;-77.44;-55.89;1.4;0.0;0.0
14;-83.61;-80.87;-82.11;-81.77;-100.0;-63.48;1.5;0.0;0.0
15;-84.45;-87.75;-77.64;-65.92;-61.99;-63.33;1.6;0.0;0.0
16;-75.93;-91.6;-80.49;-77.26;-100.0;-58.74;1.7;0.0;0.0
17;-100.0;-85.89;-79.95;-77.72;-67.0;-60.38;1.8;0.0;0.0
18;-100.0;-91.57;-73.49;-77.91;-100.0;-63.83;1.9;0.0;0.0
19;-67.02;-81.99;-100.0;-71.97;-71.65;-63.6;2.0;0.0;0.0
20;-80.06;-87.59;-80.21;-73.6;-72.99;-59.3;2.1;0.0;0.0
21;-64.18;-86.75;-82.29;-77.34;-64.76;-52.31;2.2;0.0;0.0
22;-100.0;-85.51;-72.43;-66.98;-58.12;-73.73;2.3;0.0;0.0
23;-80.23;-78.78;-71.45;-83.43;-63.97;-100.0;2.4;0.0;0.0
24;-73.78;-79.24;-79.2;-78.09;-61.45;-68.96;2.5;0.0;0.0
25;-83.08;-83.61;-82.76;-70.0;-100.0;-65.37;2.6;0.0;0.0
26;-81.78;-88.2;-70.8;-65.23;-66.83;-73.87;2.7;0.0;0.0
27;-72.7;-84.24;-81.74;-65.57;-52.68;-67.37;2.8;0.0;0.0
28;-78.44;-83.45;-76.09;-71.27;-54.29;-70.27;2.9;0.0;0.0
29;-66.6;-79.26;-71.25;-70.35;-40.97;-76.96;3.0;0.0;0.0
30;-86.34;-84.97;-71.5;-70.57;-100.0;-65.47;3.1;0.0;0.0
31;-67.79;-100.0;-86.42;-100.0;-100.0;-71.67;3.2;0.0;0.0
