;t1;t2;t3;t4;t5;t6;x;y
0;-82.75;-75.6;-81.8;-53.6;-74.6;-74.6;0.2;0.0
1;-82.68;-75.56;-81.44;-53.28;-74.96;-73.76;0.2;0.1
2;-82.75;-75.6;-81.8;-53.6;-74.6;-74.6;0.2;-0.0
3;-81.71;-76.76;-79.64;-55.28;-76.0;-72.52;0.3;0.2
4;-81.85;-76.84;-80.36;-55.92;-75.28;-74.2;0.3;0.0
5;-82.75;-75.6;-81.8;-53.6;-74.6;-74.6;0.2;0.0
6;-82.61;-75.52;-81.08;-52.96;-75.32;-72.92;0.2;0.2
7;-82.61;-75.52;-81.08;-52.96;-75.32;-72.92;0.2;0.2
8;-81.71;-76.76;-79.64;-55.28;-76.0;-72.52;0.3;0.2
9;-82.61;-75.52;-81.08;-52.96;-75.32;-72.92;0.2;0.2
10;-80.88;-78.04;-78.56;-57.92;-76.32;-72.96;0.4;0.1
11;-80.81;-78.0;-78.2;-57.6;-76.68;-72.12;0.4;0.2
12;-78.52;-73.92;-76.32;-59.24;-72.72;-71.68;0.7;0.6
13;-79.4;-74.6;-76.2;-58.2;-74.0;-71.6;0.7;0.5
14;-78.94;-80.44;-74.96;-61.92;-78.4;-70.48;0.6;0.3
15;-81.71;-76.76;-79.64;-55.28;-76.0;-72.52;0.3;0.2
16;-78.94;-80.44;-74.96;-61.92;-78.4;-70.48;0.6;0.3
17;-73.8;-73.64;-78.12;-59.8;-73.2;-74.8;1.1;0.5
18;-72.72;-74.68;-77.96;-65.32;-75.88;-77.04;1.6;0.5
19;-72.74;-75.2;-78.32;-65.4;-75.52;-77.4;1.6;0.6
20;-79.6;-74.8;-75.6;-71.2;-73.6;-74.4;2.2;1.0
21;-72.8;-75.0;-77.8;-66.6;-76.6;-77.4;1.7;0.5
22;-78.04;-76.48;-77.76;-67.72;-75.04;-74.16;1.9;1.0
23;-77.44;-72.88;-73.56;-68.56;-70.0;-74.4;2.2;0.7
24;-75.76;-74.68;-76.12;-66.2;-72.76;-74.84;1.9;0.7
25;-73.72;-73.32;-78.12;-66.64;-76.52;-75.48;1.8;0.2
26;-74.64;-73.64;-78.2;-59.72;-72.84;-75.44;1.2;0.3
27;-74.64;-73.64;-78.2;-59.72;-72.84;-75.44;1.2;0.3
28;-78.0;-74.36;-76.68;-58.6;-73.8;-72.4;0.8;0.5
29;-73.84;-73.88;-76.32;-59.0;-74.2;-76.08;0.9;0.8
30;-74.8;-76.8;-77.6;-61.0;-72.72;-74.96;1.3;1.2
31;-73.52;-73.48;-78.16;-70.44;-75.6;-74.52;1.6;1.8
32;-72.24;-73.88;-74.72;-69.88;-74.52;-72.88;1.8;1.8
33;-75.68;-77.36;-76.56;-61.6;-71.48;-72.68;1.2;1.9
34;-77.12;-75.76;-77.0;-64.72;-74.64;-72.8;1.4;2.6
35;-72.4;-71.64;-78.08;-67.2;-74.28;-73.08;1.9;2.4
36;-78.16;-77.4;-74.96;-63.28;-72.44;-70.84;1.3;2.4
37;-72.6;-73.4;-77.16;-64.08;-74.64;-74.0;2.0;2.6
38;-74.88;-72.28;-79.88;-68.6;-79.76;-76.2;1.6;2.9
39;-71.76;-73.16;-77.84;-67.72;-76.16;-74.6;1.8;2.5
40;-71.76;-73.16;-77.84;-67.72;-76.16;-74.6;1.8;2.5
41;-72.72;-70.68;-78.68;-66.12;-73.2;-72.6;2.0;2.4
42;-72.48;-74.76;-77.72;-68.28;-71.6;-75.48;2.8;2.2
43;-72.72;-75.08;-79.2;-72.8;-68.36;-75.24;2.7;1.8
44;-71.64;-72.36;-77.68;-68.28;-66.84;-73.8;2.5;1.5
45;-73.68;-73.96;-78.48;-71.04;-69.08;-76.04;2.9;1.8
