;t1;t2;t3;t4;t5;t6;x;y
0;-81.85;-76.84;-80.36;-55.92;-75.28;-74.2;0.3;0.0
1;-80.95;-78.08;-78.92;-58.24;-75.96;-73.8;0.4;0.0
2;-80.05;-79.32;-77.48;-60.56;-76.64;-73.4;0.5;0.0
3;-79.15;-80.56;-76.04;-62.88;-77.32;-73.0;0.6;0.0
4;-78.25;-81.8;-74.6;-65.2;-78.0;-72.6;0.7;0.0
5;-78.2;-80.24;-75.2;-63.96;-76.92;-73.12;0.8;0.0
6;-78.15;-78.68;-75.8;-62.72;-75.84;-73.64;0.9;0.0
7;-78.1;-77.12;-76.4;-61.48;-74.76;-74.16;1.0;0.0
8;-78.05;-75.56;-77.0;-60.24;-73.68;-74.68;1.1;0.0
9;-78.0;-74.0;-77.6;-59.0;-72.6;-75.2;1.2;0.0
10;-76.7;-73.12;-77.64;-59.8;-73.24;-74.32;1.3;0.0
11;-75.4;-72.24;-77.68;-60.6;-73.88;-73.44;1.4;0.0
12;-74.1;-71.36;-77.72;-61.4;-74.52;-72.56;1.5;0.0
13;-72.8;-70.48;-77.76;-62.2;-75.16;-71.68;1.6;0.0
14;-71.5;-69.6;-77.8;-63.0;-75.8;-70.8;1.7;0.0
15;-73.2;-71.16;-78.12;-65.2;-76.2;-72.84;1.8;0.0
16;-74.9;-72.72;-78.44;-67.4;-76.6;-74.88;1.9;0.0
17;-76.6;-74.28;-78.76;-69.6;-77.0;-76.92;2.0;0.0
18;-78.3;-75.84;-79.08;-71.8;-77.4;-78.96;2.1;0.0
19;-80.0;-77.4;-79.4;-74.0;-77.8;-81.0;2.2;0.0
20;-78.68;-76.52;-79.12;-72.36;-76.56;-80.0;2.3;0.0
21;-77.36;-75.64;-78.84;-70.72;-75.32;-79.0;2.4;0.0
22;-76.04;-74.76;-78.56;-69.08;-74.08;-78.0;2.5;0.0
23;-74.72;-73.88;-78.28;-67.44;-72.84;-77.0;2.6;0.0
24;-73.4;-73.0;-78.0;-65.8;-71.6;-76.0;2.7;0.0
25;-75.52;-74.44;-78.24;-66.88;-70.44;-76.96;2.8;0.0
26;-77.64;-75.88;-78.48;-67.96;-69.28;-77.92;2.9;0.0
27;-79.76;-77.32;-78.72;-69.04;-68.12;-78.88;3.0;0.0
28;-81.88;-78.76;-78.96;-70.12;-66.96;-79.84;3.1;0.0
29;-81.72;-78.6;-78.56;-70.64;-66.4;-80.08;3.1;0.1
30;-79.6;-77.16;-78.32;-69.56;-67.56;-79.12;3.0;0.1
31;-77.48;-75.72;-78.08;-68.48;-68.72;-78.16;2.9;0.1
32;-75.36;-74.28;-77.84;-67.4;-69.88;-77.2;2.8;0.1
33;-73.24;-72.84;-77.6;-66.32;-71.04;-76.24;2.7;0.1
34;-73.92;-72.72;-76.84;-66.0;-70.8;-75.68;2.6;0.1
35;-75.24;-73.6;-77.12;-67.64;-72.04;-76.68;2.5;0.1
36;-76.56;-74.48;-77.4;-69.28;-73.28;-77.68;2.4;0.1
37;-77.88;-75.36;-77.68;-70.92;-74.52;-78.68;2.3;0.1
38;-79.2;-76.24;-77.96;-72.56;-75.76;-79.68;2.2;0.1
39;-78.56;-76.92;-79.08;-72.52;-77.56;-80.28;2.1;0.1
40;-76.86;-75.36;-78.76;-70.32;-77.16;-78.24;2.0;0.1
41;-75.16;-73.8;-78.44;-68.12;-76.76;-76.2;1.9;0.1
42;-73.46;-72.24;-78.12;-65.92;-76.36;-74.16;1.8;0.1
43;-71.76;-70.68;-77.8;-63.72;-75.96;-72.12;1.7;0.1
44;-71.68;-70.36;-77.96;-62.44;-75.24;-71.76;1.6;0.1
45;-72.98;-71.24;-77.92;-61.64;-74.6;-72.64;1.5;0.1
46;-74.28;-72.12;-77.88;-60.84;-73.96;-73.52;1.4;0.1
47;-75.58;-73.0;-77.84;-60.04;-73.32;-74.4;1.3;0.1
48;-76.88;-73.88;-77.8;-59.24;-72.68;-75.28;1.2;0.1
49;-78.28;-74.12;-77.32;-58.84;-72.88;-74.48;1.1;0.1
50;-78.33;-75.68;-76.72;-60.08;-73.96;-73.96;1.0;0.1
51;-78.38;-77.24;-76.12;-61.32;-75.04;-73.44;0.9;0.1
52;-78.43;-78.8;-75.52;-62.56;-76.12;-72.92;0.8;0.1
53;-78.18;-81.76;-74.24;-64.88;-78.36;-71.76;0.7;0.1
54;-79.08;-80.52;-75.68;-62.56;-77.68;-72.16;0.6;0.1
55;-79.98;-79.28;-77.12;-60.24;-77.0;-72.56;0.5;0.1
56;-80.88;-78.04;-78.56;-57.92;-76.32;-72.96;0.4;0.1
57;-81.78;-76.8;-80.0;-55.6;-75.64;-73.36;0.3;0.1
58;-82.68;-75.56;-81.44;-53.28;-74.96;-73.76;0.2;0.1
59;-82.61;-75.52;-81.08;-52.96;-75.32;-72.92;0.2;0.2
60;-81.71;-76.76;-79.64;-55.28;-76.0;-72.52;0.3;0.2
61;-80.81;-78.0;-78.2;-57.6;-76.68;-72.12;0.4;0.2
62;-79.91;-79.24;-76.76;-59.92;-77.36;-71.72;0.5;0.2
63;-79.01;-80.48;-75.32;-62.24;-78.04;-71.32;0.6;0.2
64;-78.11;-81.72;-73.88;-64.56;-78.72;-70.92;0.7;0.2
65;-78.66;-77.36;-75.84;-61.16;-75.32;-72.72;0.8;0.2
66;-78.61;-75.8;-76.44;-59.92;-74.24;-73.24;0.9;0.2
67;-78.56;-74.24;-77.04;-58.68;-73.16;-73.76;1.0;0.2
68;-78.51;-72.68;-77.64;-57.44;-72.08;-74.28;1.1;0.2
69;-75.76;-73.76;-78.0;-59.48;-72.76;-75.36;1.2;0.2
70;-74.46;-72.88;-78.04;-60.28;-73.4;-74.48;1.3;0.2
71;-73.16;-72.0;-78.08;-61.08;-74.04;-73.6;1.4;0.2
72;-71.86;-71.12;-78.12;-61.88;-74.68;-72.72;1.5;0.2
73;-70.56;-70.24;-78.16;-62.68;-75.32;-71.84;1.6;0.2
74;-72.02;-71.76;-77.8;-64.44;-76.12;-73.44;1.7;0.2
75;-73.72;-73.32;-78.12;-66.64;-76.52;-75.48;1.8;0.2
76;-75.42;-74.88;-78.44;-68.84;-76.92;-77.52;1.9;0.2
77;-77.12;-76.44;-78.76;-71.04;-77.32;-79.56;2.0;0.2
78;-78.82;-78.0;-79.08;-73.24;-77.72;-81.6;2.1;0.2
79;-78.4;-75.08;-76.52;-71.12;-73.72;-78.36;2.2;0.2
80;-77.08;-74.2;-76.24;-69.48;-72.48;-77.36;2.3;0.2
81;-75.76;-73.32;-75.96;-67.84;-71.24;-76.36;2.4;0.2
82;-74.44;-72.44;-75.68;-66.2;-70.0;-75.36;2.5;0.2
83;-73.12;-71.56;-75.4;-64.56;-68.76;-74.36;2.6;0.2
84;-73.08;-72.68;-77.2;-66.84;-70.48;-76.48;2.7;0.2
85;-75.2;-74.12;-77.44;-67.92;-69.32;-77.44;2.8;0.2
86;-77.32;-75.56;-77.68;-69.0;-68.16;-78.4;2.9;0.2
87;-79.44;-77.0;-77.92;-70.08;-67.0;-79.36;3.0;0.2
88;-81.56;-78.44;-78.16;-71.16;-65.84;-80.32;3.1;0.2
89;-81.4;-78.28;-77.76;-71.68;-65.28;-80.56;3.1;0.3
90;-79.28;-76.84;-77.52;-70.6;-66.44;-79.6;3.0;0.3
91;-77.16;-75.4;-77.28;-69.52;-67.6;-78.64;2.9;0.3
92;-75.04;-73.96;-77.04;-68.44;-68.76;-77.68;2.8;0.3
93;-72.92;-72.52;-76.8;-67.36;-69.92;-76.72;2.7;0.3
94;-72.32;-70.4;-73.96;-63.12;-66.72;-73.04;2.6;0.3
95;-73.64;-71.28;-74.24;-64.76;-67.96;-74.04;2.5;0.3
96;-74.96;-72.16;-74.52;-66.4;-69.2;-75.04;2.4;0.3
97;-76.28;-73.04;-74.8;-68.04;-70.44;-76.04;2.3;0.3
98;-77.6;-73.92;-75.08;-69.68;-71.68;-77.04;2.2;0.3
99;-79.08;-79.08;-79.08;-73.96;-77.88;-82.92;2.1;0.3
100;-77.38;-77.52;-78.76;-71.76;-77.48;-80.88;2.0;0.3
101;-75.68;-75.96;-78.44;-69.56;-77.08;-78.84;1.9;0.3
102;-73.98;-74.4;-78.12;-67.36;-76.68;-76.8;1.8;0.3
103;-72.28;-72.84;-77.8;-65.16;-76.28;-74.76;1.7;0.3
104;-69.44;-70.12;-78.36;-62.92;-75.4;-71.92;1.6;0.3
105;-70.74;-71.0;-78.32;-62.12;-74.76;-72.8;1.5;0.3
106;-72.04;-71.88;-78.28;-61.32;-74.12;-73.68;1.4;0.3
107;-73.34;-72.76;-78.24;-60.52;-73.48;-74.56;1.3;0.3
108;-74.64;-73.64;-78.2;-59.72;-72.84;-75.44;1.2;0.3
109;-78.74;-71.24;-77.96;-56.04;-71.28;-74.08;1.1;0.3
110;-78.79;-72.8;-77.36;-57.28;-72.36;-73.56;1.0;0.3
111;-78.84;-74.36;-76.76;-58.52;-73.44;-73.04;0.9;0.3
112;-78.89;-75.92;-76.16;-59.76;-74.52;-72.52;0.8;0.3
113;-78.04;-81.68;-73.52;-64.24;-79.08;-70.08;0.7;0.3
114;-78.94;-80.44;-74.96;-61.92;-78.4;-70.48;0.6;0.3
115;-79.84;-79.2;-76.4;-59.6;-77.72;-70.88;0.5;0.3
116;-80.74;-77.96;-77.84;-57.28;-77.04;-71.28;0.4;0.3
117;-81.64;-76.72;-79.28;-54.96;-76.36;-71.68;0.3;0.3
118;-82.54;-75.48;-80.72;-52.64;-75.68;-72.08;0.2;0.3
119;-82.47;-75.44;-80.36;-52.32;-76.04;-71.24;0.2;0.4
120;-81.57;-76.68;-78.92;-54.64;-76.72;-70.84;0.3;0.4
121;-80.67;-77.92;-77.48;-56.96;-77.4;-70.44;0.4;0.4
122;-79.77;-79.16;-76.04;-59.28;-78.08;-70.04;0.5;0.4
123;-78.87;-80.4;-74.6;-61.6;-78.76;-69.64;0.6;0.4
124;-77.97;-81.64;-73.16;-63.92;-79.44;-69.24;0.7;0.4
125;-79.12;-74.48;-76.48;-58.36;-73.72;-72.32;0.8;0.4
126;-79.07;-72.92;-77.08;-57.12;-72.64;-72.84;0.9;0.4
127;-79.02;-71.36;-77.68;-55.88;-71.56;-73.36;1.0;0.4
128;-78.97;-69.8;-78.28;-54.64;-70.48;-73.88;1.1;0.4
129;-73.52;-73.52;-78.4;-59.96;-72.92;-75.52;1.2;0.4
130;-72.22;-72.64;-78.44;-60.76;-73.56;-74.64;1.3;0.4
131;-70.92;-71.76;-78.48;-61.56;-74.2;-73.76;1.4;0.4
132;-69.62;-70.88;-78.52;-62.36;-74.84;-72.88;1.5;0.4
133;-68.32;-70.0;-78.56;-63.16;-75.48;-72.0;1.6;0.4
134;-72.54;-73.92;-77.8;-65.88;-76.44;-76.08;1.7;0.4
135;-74.24;-75.48;-78.12;-68.08;-76.84;-78.12;1.8;0.4
136;-75.94;-77.04;-78.44;-70.28;-77.24;-80.16;1.9;0.4
137;-77.64;-78.6;-78.76;-72.48;-77.64;-82.2;2.0;0.4
138;-79.34;-80.16;-79.08;-74.68;-78.04;-84.24;2.1;0.4
139;-76.8;-72.76;-73.64;-68.24;-69.64;-75.72;2.2;0.4
140;-75.48;-71.88;-73.36;-66.6;-68.4;-74.72;2.3;0.4
141;-74.16;-71.0;-73.08;-64.96;-67.16;-73.72;2.4;0.4
142;-72.84;-70.12;-72.8;-63.32;-65.92;-72.72;2.5;0.4
143;-71.52;-69.24;-72.52;-61.68;-64.68;-71.72;2.6;0.4
144;-72.76;-72.36;-76.4;-67.88;-69.36;-76.96;2.7;0.4
145;-74.88;-73.8;-76.64;-68.96;-68.2;-77.92;2.8;0.4
146;-77.0;-75.24;-76.88;-70.04;-67.04;-78.88;2.9;0.4
147;-79.12;-76.68;-77.12;-71.12;-65.88;-79.84;3.0;0.4
148;-81.24;-78.12;-77.36;-72.2;-64.72;-80.8;3.1;0.4
149;-75.8;-71.88;-79.2;-68.88;-61.92;-79.44;3.1;0.5
150;-75.0;-71.96;-78.4;-68.76;-63.64;-78.88;3.0;0.5
151;-74.2;-72.04;-77.6;-68.64;-65.36;-78.32;2.9;0.5
152;-73.4;-72.12;-76.8;-68.52;-67.08;-77.76;2.8;0.5
153;-72.6;-72.2;-76.0;-68.4;-68.8;-77.2;2.7;0.5
154;-73.28;-72.08;-75.24;-68.08;-68.56;-76.64;2.6;0.5
155;-73.96;-71.96;-74.48;-67.76;-68.32;-76.08;2.5;0.5
156;-74.64;-71.84;-73.72;-67.44;-68.08;-75.52;2.4;0.5
157;-75.32;-71.72;-72.96;-67.12;-67.84;-74.96;2.3;0.5
158;-76.0;-71.6;-72.2;-66.8;-67.6;-74.4;2.2;0.5
159;-75.36;-72.28;-73.32;-66.76;-69.4;-75.0;2.1;0.5
160;-74.72;-72.96;-74.44;-66.72;-71.2;-75.6;2.0;0.5
161;-74.08;-73.64;-75.56;-66.68;-73.0;-76.2;1.9;0.5
162;-73.44;-74.32;-76.68;-66.64;-74.8;-76.8;1.8;0.5
163;-72.8;-75.0;-77.8;-66.6;-76.6;-77.4;1.7;0.5
164;-72.72;-74.68;-77.96;-65.32;-75.88;-77.04;1.6;0.5
165;-72.64;-74.36;-78.12;-64.04;-75.16;-76.68;1.5;0.5
166;-72.56;-74.04;-78.28;-62.76;-74.44;-76.32;1.4;0.5
167;-72.48;-73.72;-78.44;-61.48;-73.72;-75.96;1.3;0.5
168;-72.4;-73.4;-78.6;-60.2;-73.0;-75.6;1.2;0.5
169;-73.8;-73.64;-78.12;-59.8;-73.2;-74.8;1.1;0.5
170;-75.2;-73.88;-77.64;-59.4;-73.4;-74.0;1.0;0.5
171;-76.6;-74.12;-77.16;-59.0;-73.6;-73.2;0.9;0.5
172;-78.0;-74.36;-76.68;-58.6;-73.8;-72.4;0.8;0.5
173;-79.4;-74.6;-76.2;-58.2;-74.0;-71.6;0.7;0.5
174;-80.0;-74.76;-76.96;-56.96;-74.48;-71.36;0.6;0.5
175;-80.6;-74.92;-77.72;-55.72;-74.96;-71.12;0.5;0.5
176;-81.2;-75.08;-78.48;-54.48;-75.44;-70.88;0.4;0.5
177;-81.8;-75.24;-79.24;-53.24;-75.92;-70.64;0.3;0.5
178;-82.4;-75.4;-80.0;-52.0;-76.4;-70.4;0.2;0.5
179;-81.52;-74.72;-80.12;-53.04;-75.12;-70.48;0.2;0.6
180;-80.92;-74.56;-79.36;-54.28;-74.64;-70.72;0.3;0.6
181;-80.32;-74.4;-78.6;-55.52;-74.16;-70.96;0.4;0.6
182;-79.72;-74.24;-77.84;-56.76;-73.68;-71.2;0.5;0.6
183;-79.12;-74.08;-77.08;-58.0;-73.2;-71.44;0.6;0.6
184;-78.52;-73.92;-76.32;-59.24;-72.72;-71.68;0.7;0.6
185;-77.08;-74.28;-76.4;-58.6;-74.0;-73.36;0.8;0.6
186;-75.68;-74.04;-76.88;-59.0;-73.8;-74.16;0.9;0.6
187;-74.28;-73.8;-77.36;-59.4;-73.6;-74.96;1.0;0.6
188;-72.88;-73.56;-77.84;-59.8;-73.4;-75.76;1.1;0.6
189;-72.42;-73.92;-78.96;-60.28;-72.64;-75.96;1.2;0.6
190;-72.5;-74.24;-78.8;-61.56;-73.36;-76.32;1.3;0.6
191;-72.58;-74.56;-78.64;-62.84;-74.08;-76.68;1.4;0.6
192;-72.66;-74.88;-78.48;-64.12;-74.8;-77.04;1.5;0.6
193;-72.74;-75.2;-78.32;-65.4;-75.52;-77.4;1.6;0.6
194;-73.64;-75.52;-78.08;-66.36;-76.48;-76.72;1.7;0.6
195;-74.28;-74.84;-76.96;-66.4;-74.68;-76.12;1.8;0.6
196;-74.92;-74.16;-75.84;-66.44;-72.88;-75.52;1.9;0.6
197;-75.56;-73.48;-74.72;-66.48;-71.08;-74.92;2.0;0.6
198;-76.2;-72.8;-73.6;-66.52;-69.28;-74.32;2.1;0.6
199;-76.72;-72.24;-72.88;-67.68;-68.8;-74.4;2.2;0.6
200;-76.04;-72.36;-73.64;-68.0;-69.04;-74.96;2.3;0.6
201;-75.36;-72.48;-74.4;-68.32;-69.28;-75.52;2.4;0.6
202;-74.68;-72.6;-75.16;-68.64;-69.52;-76.08;2.5;0.6
203;-74.0;-72.72;-75.92;-68.96;-69.76;-76.64;2.6;0.6
204;-71.72;-71.76;-76.4;-68.84;-69.68;-76.64;2.7;0.6
205;-72.52;-71.68;-77.2;-68.96;-67.96;-77.2;2.8;0.6
206;-73.32;-71.6;-78.0;-69.08;-66.24;-77.76;2.9;0.6
207;-74.12;-71.52;-78.8;-69.2;-64.52;-78.32;3.0;0.6
208;-74.92;-71.44;-79.6;-69.32;-62.8;-78.88;3.1;0.6
209;-74.04;-71.0;-80.0;-69.76;-63.68;-78.32;3.1;0.7
210;-73.24;-71.08;-79.2;-69.64;-65.4;-77.76;3.0;0.7
211;-72.44;-71.16;-78.4;-69.52;-67.12;-77.2;2.9;0.7
212;-71.64;-71.24;-77.6;-69.4;-68.84;-76.64;2.8;0.7
213;-70.84;-71.32;-76.8;-69.28;-70.56;-76.08;2.7;0.7
214;-74.72;-73.36;-76.6;-69.84;-70.96;-76.64;2.6;0.7
