t1,t2,t3,t4,t5,t6,x,y
-72,-77,-76,-65,-68,-73,0.95,0.25
-72,-75,-76,-59,-67,-77,1.45,0.25
-77,-75,-74,-62,-66,-74,1.95,0.25
-79,-77,-79,-65,-65,-71,2.45,0.25
-78,-75,-77,-65,-66,-76,2.45,0.75
-73,-72,-79,-69,-76,-68,2.45,1.25
-73,-72,-76,-66,-70,-71,2.45,1.75
-72,-75,-71,-66,-73,-69,2.45,2.25
-73,-74,-73,-68,-75,-72,2.45,2.75
-77,-73,-71,-66,-73,-71,2.45,3.25
-76,-73,-75,-73,-73,-71,2.45,3.75
-67,-66,-69,-64,-76,-70,2.45,4.25
-68,-67,-72,-73,-75,-71,2.45,4.75
-71,-68,-68,-65,-79,-70,2.45,5.25
-75,-68,-70,-69,-79,-71,2.45,5.75
-64,-70,-68,-73,-77,-74,2.45,6.25
-73,-70,-66,-67,-81,-76,1.95,6.25
-75,-72,-64,-75,-81,-77,1.45,6.25
-74,-67,-63,-75,-82,-73,0.95,6.25
-75,-74,-68,-73,-76,-72,0.95,5.75
-70,-73,-69,-69,-76,-71,0.95,5.25
-74,-74,-76,-68,-72,-69,0.95,4.75
-77,-73,-70,-69,-72,-65,0.95,4.25
-75,-79,-86,-66,-70,-66,0.95,3.75
-67,-77,-77,-67,-71,-71,0.95,3.25
-72,-71,-74,-62,-73,-66,0.95,2.75
-73,-73,-76,-66,-76,-66,0.95,2.25
-74,-81,-76,-65,-79,-67,0.95,1.75
-74,-74,-77,-61,-68,-69,0.95,1.25
-100,-77,-77,-65,-70,-77,0.95,0.75
-69,-76,-81,-59,-70,-73,0.95,0.25
