;t1;t2;t3;t4;t5;t6;x;y;o
0;-76.24;-82.76;-77.15;-75.05;-78.05;-16.69;0.1;0.0;0.0
1;-76.23;-82.76;-77.23;-75.01;-77.71;-27.52;0.2;0.0;0.0
2;-76.22;-82.77;-77.33;-74.97;-77.35;-33.85;0.3;0.0;0.0
3;-76.2;-82.78;-77.43;-74.93;-76.99;-38.35;0.4;0.0;0.0
4;-76.19;-82.79;-77.55;-74.89;-76.61;-41.83;0.5;0.0;0.0
5;-76.18;-82.8;-77.67;-74.84;-76.21;-44.68;0.6;0.0;0.0
6;-76.17;-82.81;-77.8;-74.8;-75.81;-47.09;0.7;0.0;0.0
7;-76.15;-82.83;-77.94;-74.76;-75.39;-49.18;0.8;0.0;0.0
8;-76.14;-82.85;-78.09;-74.72;-74.95;-51.02;0.9;0.0;0.0
9;-76.13;-82.87;-78.25;-74.68;-74.49;-52.66;1.0;0.0;0.0
10;-76.12;-82.89;-78.41;-74.64;-74.01;-54.15;1.1;0.0;0.0
11;-76.11;-82.92;-78.58;-74.59;-73.51;-55.51;1.2;0.0;0.0
12;-76.1;-82.95;-78.75;-74.55;-72.99;-56.76;1.3;0.0;0.0
13;-76.09;-82.98;-78.93;-74.51;-72.44;-57.92;1.4;0.0;0.0
14;-76.08;-83.01;-79.11;-74.47;-71.86;-59.0;1.5;0.0;0.0
15;-76.07;-83.04;-79.3;-74.43;-71.25;-60.0;1.6;0.0;0.0
16;-76.07;-83.08;-79.49;-74.39;-70.61;-60.95;1.7;0.0;0.0
17;-76.06;-83.11;-79.68;-74.35;-69.92;-61.84;1.8;0.0;0.0
18;-76.05;-83.15;-79.88;-74.32;-69.19;-62.69;1.9;0.0;0.0
19;-76.04;-83.19;-80.08;-74.28;-68.41;-63.49;2.0;0.0;0.0
20;-76.04;-83.24;-80.28;-74.24;-67.56;-64.25;2.1;0.0;0.0
21;-76.03;-83.28;-80.48;-74.21;-66.65;-64.98;2.2;0.0;0.0
22;-76.03;-83.33;-80.68;-74.18;-65.65;-65.67;2.3;0.0;0.0
23;-76.02;-83.37;-80.89;-74.14;-64.55;-66.34;2.4;0.0;0.0
24;-76.02;-83.42;-81.09;-74.11;-63.33;-66.98;2.5;0.0;0.0
25;-76.01;-83.47;-81.3;-74.08;-61.96;-67.59;2.6;0.0;0.0
26;-76.01;-83.52;-81.5;-74.06;-60.39;-68.18;2.7;0.0;0.0
27;-76.0;-83.58;-81.71;-74.03;-58.55;-68.75;2.8;0.0;0.0
28;-76.0;-83.63;-81.92;-74.0;-56.35;-69.29;2.9;0.0;0.0
29;-76.0;-83.69;-82.12;-73.98;-53.59;-69.82;3.0;0.0;0.0
30;-76.0;-83.75;-82.33;-73.96;-49.9;-70.34;3.1;0.0;0.0
31;-76.0;-83.8;-82.53;-73.94;-44.3;-70.83;3.2;0.0;0.0
32;-76.0;-83.86;-82.74;-73.93;-32.24;-71.31;3.3;0.0;0.0
33;-75.96;-83.74;-82.56;-73.85;-41.07;-71.32;3.3;0.1;0.0
34;-75.96;-83.68;-82.35;-73.86;-46.31;-70.84;3.2;0.1;0.0
35;-75.96;-83.62;-82.14;-73.88;-50.72;-70.34;3.1;0.1;0.0
36;-75.97;-83.56;-81.93;-73.9;-54.02;-69.83;3.0;0.1;0.0
37;-75.97;-83.51;-81.72;-73.93;-56.62;-69.3;2.9;0.1;0.0
38;-75.97;-83.45;-81.51;-73.95;-58.73;-68.76;2.8;0.1;0.0
39;-75.97;-83.39;-81.29;-73.98;-60.51;-68.19;2.7;0.1;0.0
40;-75.98;-83.34;-81.08;-74.01;-62.05;-67.6;2.6;0.1;0.0
41;-75.98;-83.29;-80.87;-74.04;-63.41;-66.99;2.5;0.1;0.0
42;-75.99;-83.24;-80.66;-74.07;-64.61;-66.35;2.4;0.1;0.0
43;-75.99;-83.19;-80.45;-74.11;-65.7;-65.69;2.3;0.1;0.0
44;-76.0;-83.14;-80.23;-74.14;-66.69;-64.99;2.2;0.1;0.0
45;-76.0;-83.1;-80.03;-74.18;-67.6;-64.27;2.1;0.1;0.0
46;-76.01;-83.05;-79.82;-74.22;-68.44;-63.51;2.0;0.1;0.0
47;-76.02;-83.01;-79.61;-74.25;-69.22;-62.71;1.9;0.1;0.0
48;-76.02;-82.97;-79.41;-74.29;-69.95;-61.87;1.8;0.1;0.0
49;-76.03;-82.93;-79.2;-74.33;-70.63;-60.98;1.7;0.1;0.0
50;-76.04;-82.9;-79.01;-74.38;-71.27;-60.03;1.6;0.1;0.0
51;-76.05;-82.86;-78.81;-74.42;-71.88;-59.03;1.5;0.1;0.0
52;-76.06;-82.83;-78.62;-74.46;-72.46;-57.96;1.4;0.1;0.0
53;-76.07;-82.8;-78.43;-74.5;-73.0;-56.81;1.3;0.1;0.0
54;-76.08;-82.77;-78.25;-74.54;-73.53;-55.56;1.2;0.1;0.0
55;-76.09;-82.75;-78.08;-74.59;-74.02;-54.21;1.1;0.1;0.0
56;-76.1;-82.72;-77.91;-74.63;-74.5;-52.74;1.0;0.1;0.0
57;-76.11;-82.7;-77.74;-74.67;-74.96;-51.11;0.9;0.1;0.0
58;-76.12;-82.68;-77.59;-74.72;-75.39;-49.3;0.8;0.1;0.0
59;-76.14;-82.66;-77.44;-74.76;-75.82;-47.25;0.7;0.1;0.0
60;-76.15;-82.65;-77.3;-74.8;-76.22;-44.9;0.6;0.1;0.0
61;-76.16;-82.63;-77.17;-74.85;-76.61;-42.14;0.5;0.1;0.0
62;-76.17;-82.62;-77.05;-74.89;-76.99;-38.82;0.4;0.1;0.0
63;-76.19;-82.62;-76.94;-74.93;-77.36;-34.68;0.3;0.1;0.0
64;-76.2;-82.61;-76.84;-74.97;-77.71;-29.26;0.2;0.1;0.0
65;-76.21;-82.61;-76.75;-75.02;-78.05;-22.1;0.1;0.1;0.0
66;-76.23;-82.61;-76.67;-75.06;-78.39;-16.69;0.0;0.1;0.0
67;-76.2;-82.45;-76.25;-75.03;-78.4;-27.52;0.0;0.2;0.0
68;-76.19;-82.45;-76.33;-74.98;-78.07;-29.26;0.1;0.2;0.0
69;-76.17;-82.46;-76.43;-74.94;-77.73;-32.93;0.2;0.2;0.0
70;-76.16;-82.46;-76.53;-74.89;-77.37;-36.72;0.3;0.2;0.0
71;-76.14;-82.47;-76.65;-74.85;-77.01;-40.09;0.4;0.2;0.0
72;-76.13;-82.48;-76.78;-74.8;-76.63;-42.99;0.5;0.2;0.0
73;-76.12;-82.5;-76.92;-74.76;-76.24;-45.5;0.6;0.2;0.0
74;-76.11;-82.51;-77.06;-74.72;-75.84;-47.7;0.7;0.2;0.0
75;-76.09;-82.53;-77.22;-74.67;-75.42;-49.65;0.8;0.2;0.0
76;-76.08;-82.55;-77.39;-74.63;-74.98;-51.39;0.9;0.2;0.0
77;-76.07;-82.57;-77.56;-74.58;-74.53;-52.97;1.0;0.2;0.0
78;-76.06;-82.6;-77.74;-74.54;-74.06;-54.4;1.1;0.2;0.0
79;-76.05;-82.62;-77.92;-74.49;-73.56;-55.72;1.2;0.2;0.0
80;-76.04;-82.65;-78.11;-74.45;-73.04;-56.94;1.3;0.2;0.0
81;-76.03;-82.68;-78.31;-74.4;-72.5;-58.08;1.4;0.2;0.0
82;-76.02;-82.72;-78.51;-74.36;-71.93;-59.13;1.5;0.2;0.0
83;-76.01;-82.75;-78.71;-74.32;-71.33;-60.12;1.6;0.2;0.0
84;-76.0;-82.79;-78.92;-74.28;-70.69;-61.06;1.7;0.2;0.0
85;-75.99;-82.83;-79.13;-74.23;-70.01;-61.94;1.8;0.2;0.0
86;-75.98;-82.87;-79.34;-74.19;-69.29;-62.77;1.9;0.2;0.0
87;-75.98;-82.91;-79.56;-74.15;-68.53;-63.57;2.0;0.2;0.0
88;-75.97;-82.96;-79.77;-74.11;-67.7;-64.32;2.1;0.2;0.0
89;-75.96;-83.01;-79.99;-74.07;-66.81;-65.04;2.2;0.2;0.0
90;-75.96;-83.05;-80.21;-74.04;-65.84;-65.73;2.3;0.2;0.0
91;-75.95;-83.1;-80.43;-74.0;-64.79;-66.39;2.4;0.2;0.0
92;-75.95;-83.16;-80.65;-73.97;-63.63;-67.03;2.5;0.2;0.0
93;-75.94;-83.21;-80.87;-73.93;-62.33;-67.63;2.6;0.2;0.0
94;-75.94;-83.26;-81.09;-73.9;-60.88;-68.22;2.7;0.2;0.0
95;-75.94;-83.32;-81.3;-73.87;-59.23;-68.79;2.8;0.2;0.0
96;-75.93;-83.38;-81.52;-73.85;-57.34;-69.33;2.9;0.2;0.0
97;-75.93;-83.44;-81.74;-73.82;-55.14;-69.86;3.0;0.2;0.0
98;-75.93;-83.5;-81.96;-73.8;-52.62;-70.37;3.1;0.2;0.0
99;-75.93;-83.56;-82.17;-73.78;-49.9;-70.86;3.2;0.2;0.0
100;-75.93;-83.62;-82.39;-73.76;-47.78;-71.34;3.3;0.2;0.0
101;-75.89;-83.5;-82.22;-73.67;-52.05;-71.38;3.3;0.3;0.0
102;-75.89;-83.43;-82.0;-73.69;-53.13;-70.9;3.2;0.3;0.0
103;-75.89;-83.37;-81.77;-73.71;-54.8;-70.41;3.1;0.3;0.0
104;-75.9;-83.31;-81.55;-73.74;-56.62;-69.9;3.0;0.3;0.0
105;-75.9;-83.25;-81.33;-73.76;-58.37;-69.38;2.9;0.3;0.0
106;-75.9;-83.19;-81.1;-73.79;-59.98;-68.84;2.8;0.3;0.0
107;-75.9;-83.13;-80.88;-73.82;-61.45;-68.27;2.7;0.3;0.0
108;-75.91;-83.08;-80.65;-73.86;-62.77;-67.69;2.6;0.3;0.0
109;-75.91;-83.02;-80.42;-73.89;-63.97;-67.09;2.5;0.3;0.0
110;-75.92;-82.97;-80.2;-73.93;-65.07;-66.46;2.4;0.3;0.0
111;-75.92;-82.92;-79.97;-73.97;-66.08;-65.8;2.3;0.3;0.0
112;-75.93;-82.87;-79.74;-74.0;-67.01;-65.12;2.2;0.3;0.0
113;-75.94;-82.82;-79.52;-74.04;-67.87;-64.41;2.1;0.3;0.0
114;-75.94;-82.77;-79.29;-74.09;-68.67;-63.66;2.0;0.3;0.0
115;-75.95;-82.73;-79.07;-74.13;-69.42;-62.88;1.9;0.3;0.0
116;-75.96;-82.68;-78.85;-74.17;-70.12;-62.06;1.8;0.3;0.0
117;-75.97;-82.64;-78.63;-74.22;-70.79;-61.19;1.7;0.3;0.0
118;-75.98;-82.61;-78.41;-74.26;-71.41;-60.27;1.6;0.3;0.0
119;-75.99;-82.57;-78.2;-74.3;-72.01;-59.3;1.5;0.3;0.0
120;-76.0;-82.53;-77.99;-74.35;-72.57;-58.27;1.4;0.3;0.0
121;-76.01;-82.5;-77.79;-74.4;-73.11;-57.17;1.3;0.3;0.0
122;-76.02;-82.47;-77.59;-74.44;-73.62;-55.98;1.2;0.3;0.0
123;-76.03;-82.44;-77.39;-74.49;-74.11;-54.71;1.1;0.3;0.0
124;-76.04;-82.42;-77.2;-74.53;-74.58;-53.33;1.0;0.3;0.0
125;-76.05;-82.4;-77.02;-74.58;-75.03;-51.84;0.9;0.3;0.0
126;-76.06;-82.37;-76.85;-74.63;-75.46;-50.2;0.8;0.3;0.0
127;-76.08;-82.36;-76.68;-74.67;-75.88;-48.41;0.7;0.3;0.0
128;-76.09;-82.34;-76.53;-74.72;-76.28;-46.42;0.6;0.3;0.0
129;-76.1;-82.33;-76.38;-74.76;-76.67;-44.23;0.5;0.3;0.0
130;-76.12;-82.32;-76.24;-74.81;-77.04;-41.83;0.4;0.3;0.0
131;-76.13;-82.31;-76.12;-74.86;-77.4;-39.27;0.3;0.3;0.0
132;-76.14;-82.3;-76.01;-74.9;-77.75;-36.72;0.2;0.3;0.0
133;-76.16;-82.3;-75.91;-74.95;-78.09;-34.68;0.1;0.3;0.0
134;-76.17;-82.3;-75.82;-74.99;-78.42;-33.85;0.0;0.3;0.0
135;-76.14;-82.14;-75.37;-74.96;-78.46;-38.35;0.0;0.4;0.0
136;-76.13;-82.14;-75.47;-74.91;-78.13;-38.82;0.1;0.4;0.0
137;-76.11;-82.14;-75.57;-74.86;-77.79;-40.09;0.2;0.4;0.0
138;-76.1;-82.15;-75.69;-74.82;-77.44;-41.83;0.3;0.4;0.0
139;-76.09;-82.16;-75.83;-74.77;-77.09;-43.76;0.4;0.4;0.0
140;-76.07;-82.17;-75.97;-74.72;-76.71;-45.7;0.5;0.4;0.0
141;-76.06;-82.18;-76.13;-74.68;-76.33;-47.55;0.6;0.4;0.0
142;-76.05;-82.2;-76.29;-74.63;-75.93;-49.3;0.7;0.4;0.0
143;-76.03;-82.22;-76.47;-74.58;-75.52;-50.92;0.8;0.4;0.0
144;-76.02;-82.24;-76.65;-74.53;-75.09;-52.42;0.9;0.4;0.0
145;-76.01;-82.26;-76.84;-74.49;-74.65;-53.82;1.0;0.4;0.0
146;-76.0;-82.29;-77.04;-74.44;-74.18;-55.12;1.1;0.4;0.0
147;-75.98;-82.32;-77.24;-74.39;-73.7;-56.33;1.2;0.4;0.0
148;-75.97;-82.35;-77.45;-74.34;-73.2;-57.47;1.3;0.4;0.0
149;-75.96;-82.38;-77.67;-74.3;-72.67;-58.53;1.4;0.4;0.0
150;-75.95;-82.42;-77.89;-74.25;-72.12;-59.53;1.5;0.4;0.0
151;-75.94;-82.46;-78.11;-74.2;-71.53;-60.48;1.6;0.4;0.0
