,t1,t4,t5,t6,x,y,o
0,-75.71,-49.4,-79.77,-73.65,0.1,0.0,0
1,-75.51,-54.95,-79.73,-73.65,0.2,0.0,0
2,-75.31,-58.2,-79.69,-73.65,0.3,0.0,0
3,-75.11,-60.5,-79.65,-73.64,0.4,0.0,0
4,-74.89,-62.29,-79.61,-73.64,0.5,0.0,0
5,-74.67,-63.75,-79.58,-73.64,0.6,0.0,0
6,-74.44,-64.98,-79.54,-73.63,0.7,0.0,0
7,-74.2,-66.05,-79.5,-73.62,0.8,0.0,0
8,-73.95,-66.99,-79.47,-73.62,0.9,0.0,0
9,-73.69,-67.84,-79.44,-73.61,1.0,0.0,0
10,-73.42,-68.6,-79.4,-73.6,1.1,0.0,0
11,-73.13,-69.29,-79.37,-73.59,1.2,0.0,0
12,-72.84,-69.94,-79.34,-73.58,1.3,0.0,0
13,-72.52,-70.53,-79.31,-73.57,1.4,0.0,0
14,-72.2,-71.08,-79.29,-73.56,1.5,0.0,0
15,-71.85,-71.6,-79.26,-73.55,1.6,0.0,0
16,-71.48,-72.08,-79.23,-73.54,1.7,0.0,0
17,-71.09,-72.54,-79.21,-73.53,1.8,0.0,0
18,-70.68,-72.97,-79.19,-73.51,1.9,0.0,0
19,-70.23,-73.38,-79.17,-73.5,2.0,0.0,0
20,-69.75,-73.78,-79.15,-73.48,2.1,0.0,0
21,-69.23,-74.15,-79.13,-73.47,2.2,0.0,0
22,-68.66,-74.5,-79.11,-73.45,2.3,0.0,0
23,-68.04,-74.84,-79.1,-73.43,2.4,0.0,0
24,-67.34,-75.17,-79.08,-73.42,2.5,0.0,0
25,-66.56,-75.49,-79.07,-73.4,2.6,0.0,0
26,-65.67,-75.79,-79.06,-73.38,2.7,0.0,0
27,-64.63,-76.08,-79.05,-73.36,2.8,0.0,0
28,-63.38,-76.36,-79.04,-73.34,2.9,0.0,0
29,-61.81,-76.63,-79.04,-73.32,3.0,0.0,0
30,-59.71,-76.89,-79.03,-73.3,3.1,0.0,0
31,-56.53,-77.15,-79.03,-73.28,3.2,0.0,0
32,-49.68,-77.39,-79.03,-73.26,3.3,0.0,0
33,-54.69,-77.4,-78.92,-73.3,3.3,0.1,0
34,-57.67,-77.15,-78.92,-73.32,3.2,0.1,0
35,-60.18,-76.9,-78.93,-73.35,3.1,0.1,0
36,-62.06,-76.64,-78.93,-73.37,3.0,0.1,0
37,-63.53,-76.36,-78.94,-73.39,2.9,0.1,0
38,-64.73,-76.08,-78.95,-73.41,2.8,0.1,0
39,-65.74,-75.79,-78.95,-73.43,2.7,0.1,0
40,-66.62,-75.49,-78.97,-73.44,2.6,0.1,0
41,-67.39,-75.18,-78.98,-73.46,2.5,0.1,0
42,-68.07,-74.85,-78.99,-73.48,2.4,0.1,0
43,-68.69,-74.51,-79.01,-73.5,2.3,0.1,0
44,-69.25,-74.16,-79.03,-73.51,2.2,0.1,0
45,-69.77,-73.78,-79.05,-73.53,2.1,0.1,0
46,-70.25,-73.39,-79.07,-73.55,2.0,0.1,0
47,-70.69,-72.99,-79.09,-73.56,1.9,0.1,0
48,-71.1,-72.55,-79.11,-73.57,1.8,0.1,0
49,-71.49,-72.1,-79.14,-73.59,1.7,0.1,0
50,-71.86,-71.61,-79.16,-73.6,1.6,0.1,0
51,-72.2,-71.1,-79.19,-73.61,1.5,0.1,0
52,-72.53,-70.55,-79.22,-73.62,1.4,0.1,0
53,-72.84,-69.96,-79.25,-73.64,1.3,0.1,0
54,-73.14,-69.32,-79.28,-73.65,1.2,0.1,0
55,-73.42,-68.63,-79.31,-73.65,1.1,0.1,0
56,-73.69,-67.87,-79.34,-73.66,1.0,0.1,0
57,-73.95,-67.04,-79.38,-73.67,0.9,0.1,0
58,-74.2,-66.11,-79.41,-73.68,0.8,0.1,0
59,-74.44,-65.06,-79.45,-73.68,0.7,0.1,0
60,-74.67,-63.85,-79.49,-73.69,0.6,0.1,0
61,-74.89,-62.44,-79.53,-73.69,0.5,0.1,0
62,-75.11,-60.74,-79.57,-73.7,0.4,0.1,0
63,-75.32,-58.62,-79.61,-73.7,0.3,0.1,0
64,-75.52,-55.84,-79.65,-73.7,0.2,0.1,0
65,-75.71,-52.17,-79.69,-73.7,0.1,0.1,0
66,-75.9,-49.4,-79.73,-73.7,0.0,0.1,0
67,-75.91,-54.95,-79.65,-73.76,0.0,0.2,0
68,-75.72,-55.84,-79.6,-73.76,0.1,0.2,0
69,-75.53,-57.72,-79.56,-73.76,0.2,0.2,0
70,-75.33,-59.67,-79.52,-73.75,0.3,0.2,0
71,-75.12,-61.39,-79.48,-73.75,0.4,0.2,0
72,-74.91,-62.88,-79.44,-73.75,0.5,0.2,0
73,-74.68,-64.17,-79.4,-73.74,0.6,0.2,0
74,-74.45,-65.29,-79.36,-73.74,0.7,0.2,0
75,-74.22,-66.29,-79.32,-73.73,0.8,0.2,0
76,-73.97,-67.18,-79.28,-73.72,0.9,0.2,0
77,-73.71,-67.99,-79.25,-73.72,1.0,0.2,0
78,-73.44,-68.73,-79.21,-73.71,1.1,0.2,0
79,-73.16,-69.4,-79.18,-73.7,1.2,0.2,0
80,-72.86,-70.03,-79.15,-73.69,1.3,0.2,0
81,-72.56,-70.61,-79.12,-73.68,1.4,0.2,0
82,-72.23,-71.15,-79.09,-73.66,1.5,0.2,0
83,-71.89,-71.66,-79.06,-73.65,1.6,0.2,0
84,-71.53,-72.14,-79.04,-73.64,1.7,0.2,0
85,-71.14,-72.59,-79.01,-73.62,1.8,0.2,0
86,-70.73,-73.02,-78.99,-73.61,1.9,0.2,0
87,-70.3,-73.42,-78.96,-73.6,2.0,0.2,0
88,-69.83,-73.81,-78.94,-73.58,2.1,0.2,0
89,-69.32,-74.18,-78.92,-73.56,2.2,0.2,0
90,-68.77,-74.53,-78.91,-73.55,2.3,0.2,0
91,-68.17,-74.87,-78.89,-73.53,2.4,0.2,0
92,-67.51,-75.2,-78.87,-73.51,2.5,0.2,0
93,-66.78,-75.51,-78.86,-73.49,2.6,0.2,0
94,-65.95,-75.81,-78.85,-73.47,2.7,0.2,0
95,-65.02,-76.1,-78.84,-73.45,2.8,0.2,0
96,-63.94,-76.38,-78.83,-73.43,2.9,0.2,0
97,-62.69,-76.65,-78.82,-73.41,3.0,0.2,0
98,-61.26,-76.91,-78.82,-73.39,3.1,0.2,0
99,-59.71,-77.16,-78.82,-73.37,3.2,0.2,0
100,-58.51,-77.41,-78.81,-73.35,3.3,0.2,0
101,-60.94,-77.43,-78.71,-73.39,3.3,0.3,0
102,-61.55,-77.18,-78.71,-73.41,3.2,0.3,0
103,-62.49,-76.93,-78.71,-73.43,3.1,0.3,0
104,-63.53,-76.67,-78.72,-73.46,3.0,0.3,0
105,-64.53,-76.4,-78.72,-73.48,2.9,0.3,0
106,-65.44,-76.12,-78.73,-73.5,2.8,0.3,0
107,-66.27,-75.84,-78.74,-73.52,2.7,0.3,0
108,-67.03,-75.54,-78.75,-73.54,2.6,0.3,0
109,-67.71,-75.23,-78.77,-73.56,2.5,0.3,0
110,-68.34,-74.91,-78.78,-73.58,2.4,0.3,0
111,-68.91,-74.57,-78.8,-73.59,2.3,0.3,0
112,-69.44,-74.22,-78.82,-73.61,2.2,0.3,0
113,-69.92,-73.86,-78.84,-73.63,2.1,0.3,0
114,-70.38,-73.47,-78.86,-73.65,2.0,0.3,0
115,-70.81,-73.07,-78.88,-73.66,1.9,0.3,0
116,-71.21,-72.65,-78.91,-73.68,1.8,0.3,0
117,-71.58,-72.21,-78.93,-73.69,1.7,0.3,0
118,-71.94,-71.74,-78.96,-73.7,1.6,0.3,0
119,-72.28,-71.24,-78.99,-73.72,1.5,0.3,0
120,-72.6,-70.71,-79.02,-73.73,1.4,0.3,0
121,-72.9,-70.14,-79.05,-73.74,1.3,0.3,0
122,-73.19,-69.54,-79.08,-73.75,1.2,0.3,0
123,-73.47,-68.89,-79.12,-73.76,1.1,0.3,0
124,-73.74,-68.18,-79.15,-73.77,1.0,0.3,0
125,-73.99,-67.41,-79.19,-73.78,0.9,0.3,0
126,-74.24,-66.58,-79.23,-73.78,0.8,0.3,0
127,-74.48,-65.65,-79.27,-73.79,0.7,0.3,0
128,-74.7,-64.64,-79.31,-73.8,0.6,0.3,0
129,-74.92,-63.52,-79.35,-73.8,0.5,0.3,0
130,-75.14,-62.29,-79.39,-73.81,0.4,0.3,0
131,-75.34,-60.97,-79.43,-73.81,0.3,0.3,0
132,-75.54,-59.67,-79.47,-73.81,0.2,0.3,0
133,-75.74,-58.62,-79.52,-73.81,0.1,0.3,0
134,-75.92,-58.2,-79.56,-73.81,0.0,0.3,0
135,-75.94,-60.5,-79.48,-73.87,0.0,0.4,0
136,-75.76,-60.74,-79.43,-73.87,0.1,0.4,0
137,-75.56,-61.39,-79.39,-73.87,0.2,0.4,0
138,-75.37,-62.29,-79.34,-73.86,0.3,0.4,0
139,-75.16,-63.27,-79.3,-73.86,0.4,0.4,0
140,-74.95,-64.27,-79.26,-73.86,0.5,0.4,0
141,-74.73,-65.22,-79.21,-73.85,0.6,0.4,0
142,-74.51,-66.11,-79.17,-73.85,0.7,0.4,0
143,-74.27,-66.94,-79.13,-73.84,0.8,0.4,0
144,-74.03,-67.71,-79.09,-73.83,0.9,0.4,0
145,-73.78,-68.43,-79.06,-73.82,1.0,0.4,0
146,-73.51,-69.1,-79.02,-73.81,1.1,0.4,0
147,-73.24,-69.72,-78.99,-73.8,1.2,0.4,0
148,-72.95,-70.3,-78.95,-73.79,1.3,0.4,0
149,-72.65,-70.84,-78.92,-73.78,1.4,0.4,0
150,-72.34,-71.36,-78.89,-73.77,1.5,0.4,0
151,-72.01,-71.84,-78.86,-73.76,1.6,0.4,0
152,-71.66,-72.3,-78.83,-73.74,1.7,0.4,0
153,-71.29,-72.73,-78.8,-73.73,1.8,0.4,0
154,-70.9,-73.15,-78.78,-73.71,1.9,0.4,0
155,-70.49,-73.54,-78.75,-73.7,2.0,0.4,0
156,-70.05,-73.92,-78.73,-73.68,2.1,0.4,0
157,-69.59,-74.28,-78.71,-73.66,2.2,0.4,0
158,-69.09,-74.62,-78.69,-73.64,2.3,0.4,0
159,-68.55,-74.95,-78.68,-73.62,2.4,0.4,0
160,-67.97,-75.27,-78.66,-73.61,2.5,0.4,0
161,-67.34,-75.58,-78.65,-73.59,2.6,0.4,0
162,-66.67,-75.87,-78.63,-73.57,2.7,0.4,0
163,-65.95,-76.16,-78.62,-73.54,2.8,0.4,0
164,-65.19,-76.44,-78.61,-73.52,2.9,0.4,0
165,-64.42,-76.7,-78.61,-73.5,3.0,0.4,0
166,-63.67,-76.96,-78.6,-73.48,3.1,0.4,0
167,-63.05,-77.21,-78.6,-73.46,3.2,0.4,0
168,-62.69,-77.45,-78.6,-73.43,3.3,0.4,0
169,-64.07,-77.49,-78.48,-73.48,3.3,0.5,0
170,-64.3,-77.24,-78.49,-73.5,3.2,0.5,0
171,-64.73,-77.0,-78.49,-73.52,3.1,0.5,0
172,-65.28,-76.74,-78.49,-73.55,3.0,0.5,0
173,-65.89,-76.48,-78.5,-73.57,2.9,0.5,0
174,-66.51,-76.2,-78.51,-73.59,2.8,0.5,0
175,-67.12,-75.92,-78.52,-73.61,2.7,0.5,0
176,-67.71,-75.63,-78.54,-73.63,2.6,0.5,0
177,-68.27,-75.33,-78.55,-73.65,2.5,0.5,0
178,-68.8,-75.01,-78.57,-73.67,2.4,0.5,0
179,-69.3,-74.69,-78.58,-73.69,2.3,0.5,0
180,-69.77,-74.35,-78.6,-73.71,2.2,0.5,0
181,-70.21,-74.0,-78.63,-73.73,2.1,0.5,0
182,-70.63,-73.63,-78.65,-73.75,2.0,0.5,0
183,-71.03,-73.24,-78.67,-73.76,1.9,0.5,0
184,-71.4,-72.84,-78.7,-73.78,1.8,0.5,0
185,-71.76,-72.42,-78.73,-73.79,1.7,0.5,0
186,-72.09,-71.97,-78.76,-73.81,1.6,0.5,0
187,-72.41,-71.5,-78.79,-73.82,1.5,0.5,0
188,-72.72,-71.01,-78.82,-73.84,1.4,0.5,0
189,-73.02,-70.49,-78.85,-73.85,1.3,0.5,0
190,-73.3,-69.94,-78.89,-73.86,1.2,0.5,0
191,-73.57,-69.35,-78.92,-73.87,1.1,0.5,0
192,-73.82,-68.73,-78.96,-73.88,1.0,0.5,0
193,-74.07,-68.07,-79.0,-73.89,0.9,0.5,0
194,-74.31,-67.37,-79.04,-73.9,0.8,0.5,0
195,-74.55,-66.63,-79.08,-73.9,0.7,0.5,0
196,-74.77,-65.86,-79.12,-73.91,0.6,0.5,0
197,-74.98,-65.06,-79.16,-73.91,0.5,0.5,0
198,-75.19,-64.27,-79.21,-73.92,0.4,0.5,0
199,-75.4,-63.52,-79.25,-73.92,0.3,0.5,0
200,-75.59,-62.88,-79.3,-73.92,0.2,0.5,0
201,-75.78,-62.44,-79.34,-73.92,0.1,0.5,0
202,-75.97,-62.29,-79.39,-73.93,0.0,0.5,0
203,-76.0,-63.75,-79.3,-73.98,0.0,0.6,0
204,-75.81,-63.85,-79.26,-73.98,0.1,0.6,0
205,-75.63,-64.17,-79.21,-73.98,0.2,0.6,0
206,-75.43,-64.64,-79.16,-73.98,0.3,0.6,0
207,-75.23,-65.22,-79.11,-73.98,0.4,0.6,0
208,-75.03,-65.86,-79.07,-73.97,0.5,0.6,0
209,-74.81,-66.52,-79.03,-73.97,0.6,0.6,0
210,-74.59,-67.18,-78.98,-73.96,0.7,0.6,0
211,-74.36,-67.84,-78.94,-73.95,0.8,0.6,0
212,-74.13,-68.46,-78.9,-73.94,0.9,0.6,0
213,-73.88,-69.07,-78.86,-73.94,1.0,0.6,0
214,-73.63,-69.64,-78.82,-73.93,1.1,0.6,0
215,-73.37,-70.19,-78.79,-73.91,1.2,0.6,0
